time, src, dst, sport, dport, size, cnp_number
34500000, 30, 32, 10000, 100, 108560640, 1
34600000, 7, 9, 10003, 100, 108560640, 1
34600000, 7, 9, 10002, 100, 108560640, 1
34600000, 78, 80, 10001, 100, 108560640, 1
36700000, 118, 120, 10002, 100, 108560640, 1
37400000, 95, 97, 10003, 100, 108560640, 1
38600000, 78, 80, 10001, 100, 108560640, 2
38700000, 14, 16, 10000, 100, 108560640, 1
39000000, 16, 26, 10000, 100, 108560640, 1
39100000, 40, 50, 10003, 100, 108560640, 1
40500000, 30, 32, 10000, 100, 108560640, 2
40500000, 78, 80, 10001, 100, 108560640, 3
40600000, 14, 16, 10000, 100, 108560640, 2
40600000, 30, 32, 10000, 100, 108560640, 3
40700000, 54, 56, 10003, 100, 108560640, 1
52600000, 20, 30, 10006, 100, 108560640, 1
52600000, 76, 86, 10010, 100, 108560640, 1
58800000, 122, 4, 10012, 100, 108560640, 2
59000000, 26, 36, 10012, 100, 108560640, 1
59100000, 26, 36, 10010, 100, 108560640, 1
64700000, 97, 107, 10013, 100, 108560640, 1
65700000, 34, 44, 10012, 100, 108560640, 1
68000000, 34, 44, 10016, 100, 108560640, 1
68400000, 46, 48, 10017, 100, 108560640, 1
68400000, 46, 48, 10016, 100, 108560640, 1
68600000, 34, 44, 10016, 100, 108560640, 2
68600000, 46, 48, 10016, 100, 108560640, 3
68600000, 46, 48, 10013, 100, 108560640, 1
68600000, 46, 48, 10012, 100, 108560640, 1
69100000, 34, 44, 10017, 100, 108560640, 1
69900000, 46, 48, 10014, 100, 108560640, 1
69900000, 46, 48, 10013, 100, 108560640, 2
69900000, 46, 48, 10012, 100, 108560640, 2
72000000, 74, 84, 10015, 100, 108560640, 1
74300000, 112, 122, 10017, 100, 108560640, 1
74400000, 112, 122, 10016, 100, 108560640, 1
74400000, 112, 122, 10014, 100, 108560640, 1
74500000, 112, 122, 10018, 100, 108560640, 1
74500000, 112, 122, 10016, 100, 108560640, 2
75500000, 27, 37, 10020, 100, 108560640, 1
75600000, 27, 37, 10017, 100, 108560640, 1
75600000, 27, 37, 10016, 100, 108560640, 1
75600000, 112, 122, 10015, 100, 108560640, 1
75700000, 112, 122, 10017, 100, 108560640, 2
75700000, 112, 122, 10016, 100, 108560640, 3
75800000, 112, 122, 10015, 100, 108560640, 2
76000000, 67, 77, 10021, 100, 108560640, 1
76000000, 67, 77, 10020, 100, 108560640, 1
76000000, 67, 77, 10019, 100, 108560640, 2
76000000, 67, 77, 10017, 100, 108560640, 1
76300000, 112, 122, 10014, 100, 108560640, 2
76400000, 112, 122, 10017, 100, 108560640, 3
76500000, 112, 122, 10016, 100, 108560640, 4
76600000, 112, 122, 10019, 100, 108560640, 1
77100000, 112, 122, 10014, 100, 108560640, 3
77300000, 112, 122, 10017, 100, 108560640, 4
77300000, 112, 122, 10014, 100, 108560640, 4
77400000, 112, 122, 10019, 100, 108560640, 2
77400000, 112, 122, 10014, 100, 108560640, 5
77500000, 112, 122, 10020, 100, 108560640, 1
77600000, 112, 122, 10018, 100, 108560640, 2
77600000, 112, 122, 10014, 100, 108560640, 6
77800000, 112, 122, 10020, 100, 108560640, 2
77800000, 112, 122, 10015, 100, 108560640, 4
77900000, 112, 122, 10019, 100, 108560640, 3
77900000, 112, 122, 10016, 100, 108560640, 5
78000000, 112, 122, 10021, 100, 108560640, 3
78000000, 112, 122, 10020, 100, 108560640, 3
78000000, 112, 122, 10018, 100, 108560640, 3
78000000, 112, 122, 10016, 100, 108560640, 6
80700000, 66, 76, 10019, 100, 108560640, 1
81500000, 112, 122, 10023, 100, 108560640, 1
82200000, 112, 122, 10023, 100, 108560640, 2
82300000, 112, 122, 10020, 100, 108560640, 4
82900000, 66, 76, 10022, 100, 108560640, 1
83100000, 61, 71, 10022, 100, 108560640, 1
83100000, 61, 71, 10021, 100, 108560640, 1
85200000, 75, 85, 10025, 100, 108560640, 1
85200000, 75, 85, 10020, 100, 108560640, 1
85300000, 75, 85, 10023, 100, 108560640, 1
86900000, 92, 102, 10022, 100, 108560640, 1
87000000, 92, 102, 10024, 100, 108560640, 1
87200000, 112, 122, 10024, 100, 108560640, 1
87200000, 112, 122, 10023, 100, 108560640, 3
87300000, 112, 122, 10022, 100, 108560640, 1
87400000, 112, 122, 10024, 100, 108560640, 2
87500000, 112, 122, 10025, 100, 108560640, 1
87500000, 112, 122, 10022, 100, 108560640, 2
87600000, 112, 122, 10024, 100, 108560640, 3
88200000, 81, 91, 10026, 100, 108560640, 1
88300000, 92, 102, 10025, 100, 108560640, 1
88600000, 81, 91, 10022, 100, 108560640, 1
89300000, 86, 88, 10022, 100, 108560640, 1
89400000, 86, 88, 10022, 100, 108560640, 2
89500000, 86, 88, 10025, 100, 108560640, 1
90000000, 120, 2, 10024, 100, 108560640, 1
90000000, 120, 2, 10022, 100, 108560640, 1
90900000, 16, 26, 10025, 100, 108560640, 1
91000000, 16, 26, 10021, 100, 108560640, 1
91000000, 16, 26, 10019, 100, 108560640, 1
91000000, 120, 2, 10024, 100, 108560640, 2
91000000, 120, 2, 10023, 100, 108560640, 1
91100000, 120, 2, 10025, 100, 108560640, 1
91100000, 120, 2, 10021, 100, 108560640, 2
91200000, 16, 26, 10025, 100, 108560640, 2
91200000, 16, 26, 10020, 100, 108560640, 2
91200000, 16, 26, 10019, 100, 108560640, 2
91300000, 16, 26, 10026, 100, 108560640, 1
91300000, 16, 26, 10023, 100, 108560640, 1
91300000, 16, 26, 10020, 100, 108560640, 3
91400000, 16, 26, 10025, 100, 108560640, 3
91400000, 16, 26, 10023, 100, 108560640, 2
91400000, 16, 26, 10021, 100, 108560640, 2
92000000, 81, 91, 10026, 100, 108560640, 2
92400000, 81, 91, 10026, 100, 108560640, 3
