time, sw_id, port_id, q_id, q_len, port_len
600000, 16, 2, 0, 0, 60
600000, 16, 2, 1, 0, 60
600000, 16, 2, 2, 0, 60
600000, 16, 2, 3, 60, 60
600000, 16, 2, 4, 0, 60
600000, 16, 2, 5, 0, 60
600000, 16, 2, 6, 0, 60
600000, 16, 2, 7, 0, 60
600000, 17, 2, 0, 0, 60
600000, 17, 2, 1, 0, 60
600000, 17, 2, 2, 0, 60
600000, 17, 2, 3, 60, 60
600000, 17, 2, 4, 0, 60
600000, 17, 2, 5, 0, 60
600000, 17, 2, 6, 0, 60
600000, 17, 2, 7, 0, 60
600000, 19, 1, 0, 0, 60
600000, 19, 1, 1, 0, 60
600000, 19, 1, 2, 0, 60
600000, 19, 1, 3, 60, 60
600000, 19, 1, 4, 0, 60
600000, 19, 1, 5, 0, 60
600000, 19, 1, 6, 0, 60
600000, 19, 1, 7, 0, 60
600000, 19, 2, 0, 0, 60
600000, 19, 2, 1, 0, 60
600000, 19, 2, 2, 0, 60
600000, 19, 2, 3, 60, 60
600000, 19, 2, 4, 0, 60
600000, 19, 2, 5, 0, 60
600000, 19, 2, 6, 0, 60
600000, 19, 2, 7, 0, 60
600000, 20, 1, 0, 0, 60
600000, 20, 1, 1, 0, 60
600000, 20, 1, 2, 0, 60
600000, 20, 1, 3, 60, 60
600000, 20, 1, 4, 0, 60
600000, 20, 1, 5, 0, 60
600000, 20, 1, 6, 0, 60
600000, 20, 1, 7, 0, 60
600000, 20, 2, 0, 0, 60
600000, 20, 2, 1, 0, 60
600000, 20, 2, 2, 0, 60
600000, 20, 2, 3, 60, 60
600000, 20, 2, 4, 0, 60
600000, 20, 2, 5, 0, 60
600000, 20, 2, 6, 0, 60
600000, 20, 2, 7, 0, 60
600000, 25, 1, 0, 0, 60
600000, 25, 1, 1, 0, 60
600000, 25, 1, 2, 0, 60
600000, 25, 1, 3, 60, 60
600000, 25, 1, 4, 0, 60
600000, 25, 1, 5, 0, 60
600000, 25, 1, 6, 0, 60
600000, 25, 1, 7, 0, 60
700000, 16, 2, 0, 0, 0
700000, 16, 2, 1, 0, 0
700000, 16, 2, 2, 0, 0
700000, 16, 2, 3, 0, 0
700000, 16, 2, 4, 0, 0
700000, 16, 2, 5, 0, 0
700000, 16, 2, 6, 0, 0
700000, 16, 2, 7, 0, 0
700000, 16, 3, 0, 0, 60
700000, 16, 3, 1, 0, 60
700000, 16, 3, 2, 0, 60
700000, 16, 3, 3, 60, 60
700000, 16, 3, 4, 0, 60
700000, 16, 3, 5, 0, 60
700000, 16, 3, 6, 0, 60
700000, 16, 3, 7, 0, 60
700000, 16, 4, 0, 0, 60
700000, 16, 4, 1, 0, 60
700000, 16, 4, 2, 0, 60
700000, 16, 4, 3, 60, 60
700000, 16, 4, 4, 0, 60
700000, 16, 4, 5, 0, 60
700000, 16, 4, 6, 0, 60
700000, 16, 4, 7, 0, 60
700000, 16, 7, 0, 0, 60
700000, 16, 7, 1, 0, 60
700000, 16, 7, 2, 0, 60
700000, 16, 7, 3, 60, 60
700000, 16, 7, 4, 0, 60
700000, 16, 7, 5, 0, 60
700000, 16, 7, 6, 0, 60
700000, 16, 7, 7, 0, 60
700000, 17, 1, 0, 0, 5124
700000, 17, 1, 1, 0, 5124
700000, 17, 1, 2, 0, 5124
700000, 17, 1, 3, 5124, 5124
700000, 17, 1, 4, 0, 5124
700000, 17, 1, 5, 0, 5124
700000, 17, 1, 6, 0, 5124
700000, 17, 1, 7, 0, 5124
700000, 17, 2, 0, 0, 0
700000, 17, 2, 1, 0, 0
700000, 17, 2, 2, 0, 0
700000, 17, 2, 3, 0, 0
700000, 17, 2, 4, 0, 0
700000, 17, 2, 5, 0, 0
700000, 17, 2, 6, 0, 0
700000, 17, 2, 7, 0, 0
700000, 17, 4, 0, 0, 60
700000, 17, 4, 1, 0, 60
700000, 17, 4, 2, 0, 60
700000, 17, 4, 3, 60, 60
700000, 17, 4, 4, 0, 60
700000, 17, 4, 5, 0, 60
