time, src, dst, sport, dport, size, curr_rate
600000, 0, 1, 10052, 100, 131072, 2880000000000
600000, 0, 9, 10008, 100, 131072, 400000000000
600000, 0, 1, 10051, 100, 131072, 2880000000000
600000, 0, 9, 10007, 100, 131072, 400000000000
600000, 1, 2, 10050, 100, 131072, 2880000000000
600000, 1, 10, 10007, 100, 131072, 400000000000
600000, 2, 11, 10007, 100, 131072, 400000000000
600000, 3, 4, 10053, 100, 131072, 2880000000000
600000, 3, 4, 10054, 100, 131072, 2880000000000
600000, 3, 12, 10007, 100, 131072, 400000000000
600000, 4, 13, 10007, 100, 131072, 400000000000
600000, 5, 14, 10007, 100, 131072, 400000000000
600000, 6, 15, 10007, 100, 131072, 400000000000
600000, 7, 8, 10007, 100, 131072, 400000000000
600000, 8, 9, 10052, 100, 131072, 2880000000000
600000, 8, 1, 10008, 100, 131072, 400000000000
600000, 8, 9, 10050, 100, 131072, 2880000000000
600000, 8, 9, 10051, 100, 131072, 2880000000000
600000, 8, 1, 10007, 100, 131072, 400000000000
600000, 9, 10, 10050, 100, 131072, 2880000000000
600000, 9, 2, 10007, 100, 131072, 400000000000
600000, 10, 3, 10007, 100, 131072, 400000000000
600000, 11, 12, 10054, 100, 131072, 2880000000000
600000, 11, 12, 10053, 100, 131072, 2880000000000
600000, 11, 12, 10052, 100, 131072, 2880000000000
600000, 11, 4, 10007, 100, 131072, 400000000000
600000, 12, 13, 10050, 100, 131072, 2880000000000
600000, 12, 5, 10007, 100, 131072, 400000000000
600000, 13, 6, 10007, 100, 131072, 400000000000
600000, 14, 7, 10007, 100, 131072, 400000000000
600000, 15, 0, 10007, 100, 131072, 400000000000
700000, 0, 9, 10027, 100, 131072, 400000000000
700000, 1, 2, 10190, 100, 131072, 2880000000000
700000, 1, 10, 10028, 100, 131072, 400000000000
700000, 1, 2, 10191, 100, 131072, 2880000000000
700000, 1, 10, 10027, 100, 131072, 400000000000
700000, 2, 3, 10192, 100, 131072, 2880000000000
700000, 2, 11, 10027, 100, 131072, 400000000000
700000, 3, 4, 10194, 100, 131072, 2880000000000
700000, 3, 12, 10027, 100, 131072, 400000000000
700000, 4, 13, 10027, 100, 131072, 400000000000
700000, 4, 13, 10026, 100, 131072, 400000000000
700000, 5, 6, 10189, 100, 131072, 2880000000000
700000, 5, 14, 10028, 100, 131072, 400000000000
700000, 5, 14, 10027, 100, 131072, 400000000000
